vOTU	Organic Nitrogen	MISC	carbon utilization	carbon utilization (Woodcroft)	Energy	Transporters
vOTU04543	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04573	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04595	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04631	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04682	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04689	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04715	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04729	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04752	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04762	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04776	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU04786	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04811	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
vOTU04840	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04864	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04869	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04891	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04906	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04908	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04926	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04949	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04955	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04969	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
vOTU04979	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
